質問,回答,タグ,,
現職のスタッフにも確認が必要ですか？,はい。認定を受けた日から1年以内に、こどもに関わる現職スタッフ全員の確認を行う必要があります。,#運営 #事業者向け,,
「プライバシーの侵害だ」と拒否されたらどうすればいいですか？,確認を拒否された場合、そのスタッフをこどもと接する業務に従事させることはできません。配置転換などを検討する必要があります。,#運営 #事業者向け,,
アルバイトの大学生にも確認が必要ですか？,はい。雇用形態に関わらず、こどもと接する業務（支配性・継続性・閉鎖性がある業務）に就く場合は対象になります。,#運営 #事業者向け,,
短期のボランティアも対象ですか？,はい。ボランティアであっても、継続的にこどもと接する業務を行う場合は対象となります。,#運営 #事業者向け,,
犯歴照会のために、スタッフは何を提出すればいいですか？,スタッフ本人が、マイナンバーカード等を使ってオンラインシステムで戸籍情報などを登録します。会社が戸籍謄本を預かる必要はありません（本人が希望すれば経由も可能）。,#運営 #事業者向け,,
スタッフに費用負担は発生しますか？,犯歴確認自体は無料ですが、戸籍情報の取得費用などがかかる場合があります。トラブル防止のため、費用負担については事前に協議しておくことが望ましいです。,#運営 #事業者向け,,
過去に遡って、いつまでの犯罪歴がわかりますか？,拘禁刑（懲役・禁錮）が終わってから20年、罰金刑が終わってから10年経過していないものが確認されます。,#運営 #事業者向け,,
外国籍のスタッフはどうなりますか？,住民票や在留カードなどを提出してもらい確認します。手続きに時間がかかる場合があるため（1?2ヶ月）、早めの対応が必要です。,#運営 #事業者向け,,
犯歴以外の個人情報も会社に知られてしまいますか？,国から会社に届くのは「犯歴あり/なし」の結果（ありの場合、どのような刑罰を受けたか、いつ確定したかという情報を含む）のみです。それ以外のプライベートな情報（犯行の具体的な内容等）は通知されません。,#運営 #事業者向け,,
もし「犯歴あり」の通知が来たら、即解雇できますか？,直ちに解雇できるとは限りません。まずは「こどもと接しない業務」への配置転換を検討する義務があります。解雇は最終手段であり、労働法に従って慎重に判断する必要があります。,#ケーススタディ #事業者向け,,
「犯歴あり」の場合、どんな情報がわかりますか？,どのような罪で、いつ刑が確定したかという情報が通知されます。,#ケーススタディ #事業者向け,,
配置転換する部署がありません。どうすれば？,配置転換が困難で、他の手段もない場合に限り、解雇や内定取消しが認められる可能性がありますが、弁護士等に相談の上、慎重に対応してください。,#ケーススタディ #事業者向け,,
本人が「昔のことだ」「反省している」と言ってもダメですか？,ダメです。法律で定められた期間（刑終了後20年等）を経過していない場合は、例外なく対象業務（こどもと接する業務）に従事させることはできません。,#ケーススタディ #事業者向け,,
結果が出るまで働かせてはいけませんか？,原則は結果が出てからです。ただし、急な欠員など「やむを得ない事情」がある場合は、結果が出る前でも「こどもと1対1にさせない」などの対策を講じれば働かせることができます（いとま特例）。,#ケーススタディ #事業者向け,,
内定後に「犯歴あり」とわかったら、内定を取り消せますか？,募集要項や誓約書で「性犯罪歴がないこと」を採用条件として明示していれば、内定取消しが可能になるケースがあります。事前の明示が重要です。,#ケーススタディ #事業者向け,,
「犯歴あり」の情報を、他のスタッフや保護者に伝えてもいいですか？,絶対にいけません。法律で厳しく禁止されており、漏らすと刑事罰（1年以下の拘禁刑など）の対象になります。,#ケーススタディ #事業者向け,,
結果の通知書（紙）はずっと保管しておくのですか？,いいえ。確認から5年経過後や退職後は、速やかに廃棄・消去しなければなりません。,#ケーススタディ #事業者向け,,
犯歴はないけれど「不適切な行為（セクハラ等）」をするスタッフはどうすれば？,就業規則で禁止事項を定めておき、指導や懲戒処分を行えるようにしておく必要があります。認定事業者はこうした「不適切な行為」への対処規程を作る義務があります。,#ケーススタディ #事業者向け,,
犯歴情報を漏らしてしまったらどうなりますか？,直ちに国（こども家庭庁）へ報告しなければなりません。また、本人への損害賠償や刑事罰のリスクが生じる場合もあります。,#ケーススタディ #事業者向け,,
送迎バスの運転手も対象ですか？,運転手以外に保育士等が同乗していなければ、密室になりやすく、こどもと継続的に接するため、対象業務に含まれます。,#対象範囲 #事業者向け,,
事務員や受付スタッフは対象ですか？,基本的には対象外ですが、保護者面談中に別室でこどもの面倒を見るなど、こどもと1対1になる業務がある場合は対象になります。,#対象範囲 #事業者向け,,
外部から来るイベント講師（1日だけ）は対象ですか？,1回きりのゲスト講師などは「継続性」がないため、対象外となる可能性が高いです。,#対象範囲 #事業者向け,,
警備員や清掃員は？,こどもがいる時間帯に、死角となる場所を巡回するなど接触の機会がある場合は対象となります。,#対象範囲 #事業者向け,,
夏休みのキャンプなど、短期のイベントはどうなりますか？,6ヶ月以上の期間にわたり複数回開催されるプログラムの一部であれば対象となりますが、単発のイベントであれば対象外となる可能性があります。,#対象範囲 #事業者向け,,
確認結果が出るのにどれくらいかかりますか？,日本国籍の場合は「2週間から1ヶ月程度」が目安です。外国籍の場合は「1ヶ月から2ヶ月程度」かかります。,#手続き #事業者向け,,
急にスタッフが辞めて、明日から代わりの人が必要です。間に合いません。,「いとま特例」が使えます。申請は後から（3ヶ月以内）で良いですが、結果が出るまでは「こどもと1対1にさせない」などの制限付きで勤務させることになります。,#手続き #事業者向け,,
GビズIDとは何ですか？,国の行政サービスにログインするための法人・事業主向けIDです。申請には印鑑証明書などが必要で、取得に数週間かかることもあるため、早めの準備が必要です。,#手続き #事業者向け,,
パソコンが苦手です。紙で申請できませんか？,原則はオンライン申請です。災害などでシステムが使えない場合などの例外を除き、システム利用が求められます。,#手続き #事業者向け,,
毎年全員確認するのですか？,いいえ。一度確認すれば、その人が働き続けている限り、次は5年後（の年度末まで）の再確認で大丈夫です。,#手続き #事業者向け,,
認定を取るメリットは何ですか？,「国のお墨付き」として安全対策をアピールでき、他の教室との差別化になります。保護者が教室を選ぶ際の重要な判断基準になります。,#インセンティブ #事業者向け,,
認定を取るデメリットは？,犯歴確認の手間やコストがかかるほか、万が一違反すると「認定取消し」として公表され、社会的信用を失うリスクがあります。,#インセンティブ #事業者向け,,
認定を受けていたのに事件が起きたら、責任を問われますか？,事業者の責任は重大です。しかし、やるべき措置（確認や研修など）を適切に行っていた記録があれば、会社としての義務は果たしていたと説明できます。,#インセンティブ #事業者向け,,
「不適切な行為」まで管理するのは厳しすぎませんか？,犯罪に至らなくても、密室で2人きりになる等の行為はリスクです。これらを「禁止事項」として明確にルール化することで、スタッフとこどもの双方を守ることにつながります。,#インセンティブ #事業者向け,,
小規模な事業者にはハードルが高すぎませんか？,確かに負担はかなり大きいですが、小規模だからこそ「先生とこどもの距離が近い」というリスクがあるという見方もできます。安全対策は存続のための投資とも言えます。,#インセンティブ #事業者向け,,
研修を行う余裕がありません。,国が「研修動画」を作成してくれる予定です（ただし、演習も組み合わせる必要があります）。,#インセンティブ #事業者向け,,
こどもへの面談やアンケートは必須ですか？,はい、必須です。ただし、未就学児の場合は「日常的な観察」で代えるなど、発達段階に応じた方法で構いません。,#手続き #事業者向け,,
万が一、情報漏えいが起きたらどうなりますか？,直ちに国へ報告する義務があります。また、原因究明や再発防止策の実施、場合によっては公表も求められます。,#ケーススタディ #事業者向け,,
認定を取り消されたらどうなりますか？,事業者名や違反内容が公表され、その後2年間は再認定を受けられません。事実上の「退場」に近い重いペナルティです。,#ケーススタディ #事業者向け,,
結局、準備はいつから始めればいいですか？,法律は2026年12月施行ですが、就業規則の変更やGビズIDの取得、社内ルールの整備には時間がかかります。今から少しずつ検討を始めることをお勧めします。,#インセンティブ #事業者向け,,
